Project Name,Developer,Location,Launch Status,Base Price (₹/sq.ft.),Typology,Unit Size (sq.ft.),Price Range (₹ Cr),Land Area (acres),Total Units,Towers,Key Features,Payment Plan,HRERA No,Launch Date,Notes
Godrej Sora,Godrej Properties Ltd.,"Sector 53, Golf Course Road, Gurgaon",Pre-Launch,"29,999 – 32,749",3 BHK; 4 BHK L; 4 BHK XL,2771; 3519; 3971,8.31 – 9.08; 10.56 – 11.53; 11.91 – 13.01,~3.6,~240,4.0,"Beside Biodiversity Park; Shibui-inspired arrival; Tori gate façade; Japanese clubhouse (Onsen Pool, Spa, Squash, Badminton); Rooftop pool; Private lift lobbies; 2 units per core; Zen Garden; Dual sunrise & sunset views",5% Application; 5% within 18 days of booking; 10% within 90 days or on receipt of EC (whichever later); 5% within 150 days; 25% on completion of ground floor or 10th June 2027 (whichever later); 25% on completion of terrace; 20% on OC application; 5% on possession,RC/REP/HARERA/GGM/976/708/2025/79,25-Aug-2025,"EOI Discount ₹1,000 per sqft on base price; GST + IFMS + CAM extra; Limited duplexes subscribed; Price ranges are indicative; All details subject to final agreement & approvals"
Experion Trillion,Experion Developers Pvt. Ltd.,"Sector 48, Gurgaon",Pre-Launch / Early Booking,"21,000",3 BHK; 4 BHK; Studio/1BHK (plans suggest smaller units too),3BHK: 284 - 2917; 4BHK: 3529 - 3601,3BHK: ₹5.96 Cr (starting); 4BHK: ₹7.41 Cr (starting),5.5,540,,Master plan and unit plans uploaded by user; Dwarka Expressway frontage (see site plan); clubhouse and typical amenities shown in brochure images,20:40:40,,,Rates supplied by user. Prices exclusive of taxes/other charges unless specified.
Godrej Alira,Godrej Properties Ltd.,"Sector 39, Gurgaon",Pre-Launch,"23,000",3 BHK; 4 BHK; 4 BHK L,3 BHK – 2426; 4 BHK – 3082; 4 BHK L – 3167,3 BHK: 5.58–6.25; 4 BHK: 7.09–7.94; 4 BHK L: 7.28–8.15,2,120,,"Located in Central Gurgaon; 2 luxury clubhouses within 2 acres; Palm-inspired architecture; Zen Garden, Jacuzzi, Café & Bar; Wheelchair friendly; Vehicle-free surface level; Golf putting zone, Paddle & Badminton courts; Multipurpose hall; Medanta Medicity walking distance",5% on booking; 5% within 18 days; 10% within 60 days; 10% within 150 days; 20% on 4th basement roof slab or Jan 2027; 20% on top floor slab; 15% on internal plaster & flooring; 10% on OC; 5% on possession,RC/REP/HARERA/GGM/959/691/2025/62,26-Jun-2025,"EOI amount ₹20,00,000; Pre-launch benefits awaited; Price exclusive of GST + IFMS + CAM."
Dalcore Residences,Dalcore,"Sector 53, Golf Course Road, Gurgaon",Pre-Launch (RERA Received),"27,000",3 BHK + S; 4 BHK + S,3BHK – 3448; 4BHK – 4122,3BHK: 9.31 Cr; 4BHK: 11.13 Cr,2.10,96,1 Tower (S+35 Floors; 44 units/acre),"5-star branded residences; Proximity to DLF Golf Course (700m); LEED Platinum Pre-certified building; 3.8m floor-to-ceiling height; Duplex penthouses; Close to Cyber City (7km) & Rapid Metro (4km); Excellent connectivity via NH-48, MG Road & CPR.",INR 25 lakh on application; 10% within 30 days; 10% within 90 days; 10% within 180 days; 10% on 17th floor slab; 20% on 29th floor slab; 20% on OC application; 15% on OC receipt; 5% on possession,RERA Received (No. not specified),2025,"Stamp duty, registration, GST, IFMS extra; Holding charge ₹25/sq.ft./month; ₹10 lakh interest-bearing maintenance security deposit per apartment."
